head,3.15,3.175,3.2,3.225,3.25
0,12.271,12.57,12.754,12.762,12.541
5,12.263,12.563,12.742,12.755,12.534
10,12.259,12.569,12.737,12.751,12.533
15,12.263,12.575,12.738,12.752,12.533
20,12.275,12.585,12.745,12.759,12.538
25,12.295,12.599,12.756,12.77,12.547
30,12.324,12.616,12.774,12.785,12.554
35,12.356,12.637,12.798,12.803,12.567
40,12.395,12.663,12.822,12.826,12.582
45,12.432,12.689,12.853,12.851,12.597
50,12.471,12.718,12.881,12.881,12.612
55,12.505,12.745,12.91,12.912,12.627
60,12.537,12.77,12.94,12.944,12.641
65,12.567,12.794,12.966,12.979,12.655
70,12.589,12.822,12.994,13.014,12.672
75,12.606,12.842,13.021,13.049,12.687
80,12.617,12.861,13.043,13.08,12.705
85,12.623,12.881,13.067,13.11,12.722
90,12.624,12.888,13.085,13.132,12.733
95,12.622,12.9,13.098,13.147,12.743
100,12.616,12.902,13.108,13.157,12.751
105,12.604,12.894,13.112,13.158,12.751
110,12.59,12.886,13.106,13.153,12.749
115,12.573,12.872,13.094,13.143,12.744
120,12.553,12.85,13.08,13.124,12.734
125,12.532,12.827,13.057,13.103,12.721
130,12.509,12.796,13.03,13.073,12.703
135,12.488,12.768,13.001,13.037,12.684
140,12.465,12.735,12.967,13,12.663
145,12.44,12.707,12.935,12.959,12.644
150,12.412,12.675,12.904,12.919,12.625
155,12.382,12.642,12.872,12.881,12.605
160,12.352,12.616,12.842,12.847,12.59
165,12.325,12.594,12.813,12.816,12.574
170,12.302,12.577,12.784,12.791,12.558
175,12.277,12.565,12.763,12.769,12.547
180,12.262,12.556,12.745,12.755,12.536
185,12.255,12.557,12.734,12.75,12.532
190,12.253,12.559,12.732,12.746,12.53
195,12.261,12.569,12.736,12.752,12.534
200,12.276,12.585,12.743,12.76,12.541
205,12.297,12.597,12.758,12.773,12.55
210,12.329,12.618,12.776,12.79,12.562
215,12.362,12.643,12.799,12.81,12.576
220,12.398,12.665,12.828,12.832,12.591
225,12.439,12.695,12.858,12.859,12.607
230,12.477,12.722,12.888,12.889,12.623
235,12.515,12.749,12.916,12.922,12.637
240,12.547,12.776,12.947,12.956,12.652
245,12.576,12.804,12.978,12.991,12.667
250,12.601,12.831,13.005,13.028,12.685
255,12.62,12.856,13.031,13.063,12.702
260,12.632,12.88,13.056,13.097,12.721
265,12.636,12.894,13.079,13.125,12.736
270,12.637,12.902,13.1,13.146,12.747
275,12.634,12.907,13.112,13.16,12.756
280,12.628,12.911,13.121,13.17,12.76
285,12.618,12.91,13.123,13.171,12.765
290,12.605,12.901,13.118,13.165,12.762
295,12.585,12.886,13.107,13.153,12.756
300,12.565,12.86,13.09,13.135,12.744
305,12.542,12.84,13.069,13.114,12.734
310,12.519,12.811,13.042,13.083,12.716
315,12.499,12.782,13.014,13.05,12.697
320,12.474,12.747,12.98,13.008,12.674
325,12.448,12.713,12.946,12.967,12.65
330,12.42,12.684,12.914,12.928,12.633
335,12.392,12.654,12.879,12.889,12.613
340,12.363,12.63,12.849,12.854,12.596
345,12.335,12.606,12.819,12.824,12.58
350,12.309,12.59,12.794,12.796,12.566
355,12.29,12.574,12.77,12.776,12.55
